date,headline
20010323,Rollercoaster: Sensex moves southwards
20010407,Sensex sheds early gains
20010411,Sensex under bear attack; drops to 23-month low
20010412,Sensex nosedives as Infy hints at tech slowdown
20010418,Sensex rises 61 points despite Infy-Sify drag
20010529,Sensex stays in the bull zone; gains 60 points
20010715,MONEY WISE brSensex faces a roller coaster
20010727,For Sensex; worst is yet to come
20010729,Sensex faces a roller-coaster
20010804,Sensex recovers by 2.27% over last week
20010807,Sensex slides by 11 points
20010807,S&P downgrade seen to have little impact
20010808,S&P's downgrading attracts mixed reaction
20010808,S&P downgrade will affect FDI; divestment
20010809,S&P lowers rating outlook for banks
20010816,Heavyweights steady Sensex
20010821,Sensex closes at 3297.47
20010824,Sensex moves in small range at early stages
20010830,Sensex fluctuates in small range at early stages
20010912,Sebi keeps Sensex circuit breaker at 10%
20010914,Sensex; rupee spooked by war talk
20010916,US economy will not collapse; says S&P
20010919,Sensex crash: FIIs not the only reason
20010921,Sensex dips below 2;600
20010924,Sensex; rupee up as sanctions go
20010928,Sensex up by 48.16 points
20010928,Sensex closes above 2;800; up 92 points
20011011,Sensex closes at 2;944; up 47 points
20011012,Profit-booking clips Sensex' early gains
20011016,Sensex stages a recovery to close positive
20011017,Fresh buying props up Sensex
20011023,Sensex closes at 3063.07
20011025,Sensex closes marginally lower
20011029,Sensex closes lower in subdued markets
20011031,FMCG; auto scrips push up Sensex
20011102,Market expects Sensex to touch 4;400 by March 2002
20011102,Profit-taking; ITC shave Sensex' early gains
20011105,Sensex declines as ITC; pharma scrips tumble
20011107,Sensex down as selling pressure mounts
20011112,Refinery stocks prop up Sensex
20011120,S&P affirms India's ratings
20011122,Sensex closes marginally higher
20011123,Sensex wilts under selling pressure
20011126,Sensex closes on a high note
20011127,BSE rally loses steam; Sensex down 35 pts
20011205,Sensex zooms on tech rally
20011207,Sensex closes marginally higher
20011213,Sensex absorbs terror tremor
20011218,Sensex dips after firm opening
20011220,Sensex drops by 73 points
20011221,Sensex falls on selling pressure
20011228,Rupee closes at new low; Sensex up
20020110,Sell-off in IT stocks pushes Sensex below 3400-mark
20020111,Sensex down by 19 points; tech stocks slip
20020118,Sensex dips 24 points on profit booking
20020130,Sensex falls below 3300-mark at early stages
20020226,Rail Budget pushes Sensex up 96 points
20020301,Sensex bounces back; gains 116 points
20020307,Sensex pays no heed to Sebi
20020315,Sensex welcomes Nyas chief's climbdown
20020319,Sensex down at early stages
20020320,Heavyweights push Sensex up 21 points
